id,Workplaces,College,School,Places,Gender
199,thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks|thực tập sinh at saigonwalks,studies at ueh - trường đại học kinh tế tp.hcm,went to thpt lê quý đôn - tân an - long an,"tân an, long an|tân an, long an",female
200,works at trường đại học bách khoa - đh quốc gia tp.hcm|works at trường đại học bách khoa - đh quốc gia tp.hcm,no schools to show,went to trường thpt mạc đĩnh chi,"bình chánh, hồ chí minh, vietnam|ho chi minh city, vietnam",male
201,đại lý bán vé máy bay - tàu,studied at trường đại học kinh tế - luật,no schools to show,no places to show,female
202,no workplaces to show,studied at trường đại học an giang,went to thpt long xuyen,"hoa lac, an giang, vietnam|long xuyên",male
203,tân châu,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
204,"works at biên hòa, đồng nai",studied at trường đại học mở tp. hcm - tư vấn tuyển sinh,went to thpt vũng tàu,vung tau|vung tau,female
205,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
206,works at kcx linh trung 2,no schools to show,went to thpt lai vung 3,"thủ đức, hồ chí minh, vietnam|lai vung",notknown
207,tân châu,no schools to show,no schools to show,tân châu,female
208,no workplaces to show,no schools to show,no schools to show,no places to show,male
209,works at binh duong - viet nam,studied at ueh - trường đại học kinh tế tp.hcm,went to zo zo tea,"thu dau mot|angiang, an giang, vietnam|thu dau mot",notknown
210,no workplaces to show,"studied at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",no schools to show,"buôn hô, đắc lắk, vietnam|buôn hô, đắc lắk, vietnam",male
211,no workplaces to show,no schools to show,no schools to show,no places to show,female
212,president at webdev studios,studies networking and telecommunications technology at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to trường thpt võ trường toản,"hanoi, vietnam",male
213,no workplaces to show,studied kỹ thuật phần mềm at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,went to thpt đơn dương,da lat,male
214,no workplaces to show,no schools to show,no schools to show,"atlanta, georgia|tân châu",notknown
215,works at meta,no schools to show,no schools to show,bến tre|bến tre,male
216,no workplaces to show,studied at đại học cần thơ,went to huynh man dat - kien giang,"rach gia, vietnam|rach gia",male
217,cử nhân điều dưỡng at nttu - đại học nguyễn tất thành,no schools to show,no schools to show,no places to show,male
218,self-employed,studied at happy class - lớp học vui vẻ,went to hội ăn rồi chơi,long hòa|tân châu,male
219,no workplaces to show,studied at trường đại học giao thông vận tải tp.hcm|studied at trường đại học giao thông vận tải tp.hcm,no schools to show,gò công|gò công,female
220,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
221,tân châu,no schools to show,no schools to show,tân châu,female
222,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
223,no workplaces to show,studies bác sĩ : răng hàm mặt at trường đại học y dược cần thơ,went to thcs châu văn liêm|went to thcs châu văn liêm,ô môn,male
224,no workplaces to show,no schools to show,no schools to show,no places to show,male
225,no workplaces to show,no schools to show,no schools to show,thieu hoa|thanh hóa,male
