id,Workplaces,College,School,Places,Gender
8849,high school football coach at thủ đức 24h,studies khoa lịch sử at trường đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,"went to thpt  núi thành, núi thành, quảng nam","ho chi minh city, vietnam|quang nam, quang nam-da nang, vietnam",male
8850,,,,,
8851,,,,,
8852,no workplaces to show,no schools to show,no schools to show,hà tĩnh,notknown
8853,no workplaces to show,no schools to show,"goes to thpt tân châu, an giang|goes to thpt tân châu, an giang",tân châu|tân châu,female
8854,no workplaces to show,no schools to show,went to trường thpt nguyễn sinh sắc,tân châu,notknown
8855,,,,,
8856,no workplaces to show,no schools to show,no schools to show,no places to show,male
8857,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8858,worked at trường thpt tân bình,no schools to show,went to trường thpt tân bình,thu dau mot|tân uyên,female
8859,,,,,
8860,no workplaces to show,no schools to show,went to lee min huu photography,"quang nam, quang nam-da nang, vietnam|quang nam, quang nam-da nang, vietnam",male
8861,no workplaces to show,no schools to show,no schools to show,no places to show,female
8862,,,,,
8863,works at hutech - đại học công nghệ tp.hcm|works at hutech - đại học công nghệ tp.hcm|works at hutech - đại học công nghệ tp.hcm,studies at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,male
8864,"works at tân châu, an giang",no schools to show,went to thpt đức trí,"tân châu|long thuan, ðồng tháp, vietnam",female
8865,,,,,
8866,"ho chi minh city, vietnam",no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8867,no workplaces to show,no schools to show,no schools to show,no places to show,female
8868,no workplaces to show,no schools to show,no schools to show,tân châu,female
8869,,,,,
8870,,,,,
8871,,,,,
8872,no workplaces to show,no schools to show,no schools to show,tân châu,female
8873,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8874,,,,,
8875,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|hồng ngự",notknown
8876,,,,,
8877,no workplaces to show,no schools to show,went to cao đẳng du lịch sài gòn,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
8878,no workplaces to show,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,female
8879,,,,,
8880,"ho chi minh city, vietnam",no schools to show,went to thcs tt chợ vàm,"angiang, an giang, vietnam|angiang, an giang, vietnam",female
8881,,,,,
8882,,,,,
8883,,,,,
8884,works at trung tâm nhạc cụ & anh ngữ mhg - acoustic|works at trung tâm nhạc cụ & anh ngữ mhg - acoustic|works at trung tâm nhạc cụ & anh ngữ mhg - acoustic,studied at hội quán sinh viên đại học giao thông vận tải phân hiệu tại tp.hcm,no schools to show,no places to show,male
8885,,,,,
8886,,,,,
8887,no workplaces to show,no schools to show,no schools to show,"cẩm phả port, quảng ninh, vietnam",female
8888,,,,,
8889,,,,,
8890,works at cà phê gon,studied at trường cao đẳng y khoa phạm ngọc thạch,no schools to show,bến tre|bến tre,female
8891,,,,,
8892,,,,,
8893,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
8894,,,,,
8895,,,,,
8896,,,,,
8897,,,,,
8898,,,,,
8899,,,,,
8900,no workplaces to show,no schools to show,no schools to show,no places to show,male
8901,,,,,
8902,,,,,
