id1,id2
9308,389
9308,426
9308,14240
9308,19283
9308,19204
9308,3591
9308,10034
9308,11607
9308,19987
9308,15800
9308,12330
9308,12478
9308,6296
9308,17327
9308,11735
9308,13292
9308,18113
9308,1800
9308,19749
9308,12796
9308,18479
9308,6863
9308,12898
9308,2893
9308,9105
9308,15671
9308,3289
9308,11087
9308,18061
9308,19599
9308,18037
9308,15023
9308,12904
9308,13472
9308,13553
9308,6077
9308,17660
9308,3013
9308,6609
9308,11937
9308,8933
9308,14249
9308,19383
9308,10038
9308,2326
9308,1421
9308,10170
9308,2857
9308,7138
9308,16653
9308,6457
9308,18159
9308,11552
9308,5160
9308,1749
9308,13886
9308,15983
9308,12891
9308,1792
9308,2698
9308,6258
9308,16145
9308,19132
9308,17114
9308,10150
9308,17520
9308,19825
9308,797
9308,16142
9308,6845
9308,16190
9308,1928
9308,6627
9308,5793
9308,15412
9308,5540
9308,1275
9308,1012
9308,8257
9308,15162
9308,10351
9308,15078
9308,20369
9308,9511
9308,16940
9308,6885
9308,16777
9308,15877
9308,5616
9308,1102
9308,11615
9308,292
9308,19741
9308,20194
9308,968
9308,10642
9308,20408
9308,10738
9308,2485
9308,5704
9308,12059
9308,13452
9308,14296
9308,4448
9308,20120
9308,923
9308,3282
9308,11343
9308,11446
9308,4246
9308,7584
9308,4073
9308,2684
9308,42
9308,9540
9308,4017
9308,10364
9308,13067
9308,15954
9308,16895
9308,14337
9308,14960
9308,20513
9308,5304
9308,3076
9308,1681
9308,13354
11013,11969
11013,17149
11013,3591
16400,3013
16400,1749
16400,18479
16400,6296
16400,15830
16400,11607
16400,18037
16400,10170
16400,10034
16400,12891
16400,99
16400,6077
16400,3591
16400,14545
16400,14240
16400,9308
9838,11969
9838,1762
9838,5660
15948,2382
15948,8674
15948,1098
15948,14219
15948,16954
15948,20620
15948,12840
15948,12512
15948,8098
15948,3591
15948,9800
15948,1006
15948,19692
15948,855
15948,7732
15948,8913
15948,3843
15948,4671
15948,7184
15948,15439
15948,12701
15948,8074
15948,6784
15948,14525
15948,2728
15948,19960
15948,8593
15948,16685
15948,6910
15948,15377
15948,15143
15948,14878
15948,11147
15948,7512
15948,16363
15948,14035
15948,19994
15948,14424
15948,9128
15948,19110
15948,19167
15948,2212
15948,10966
15948,9944
15948,11021
15948,11748
15948,4310
15948,5252
15948,5897
15948,18750
15948,9854
15948,20360
15948,9825
15948,19850
15948,1167
15948,965
15948,13423
15948,16520
15948,6794
15948,8141
15948,18052
15948,20392
15948,5739
15948,3873
15948,3043
15948,7975
15948,9703
15948,19048
15948,16589
15948,13454
15948,9079
15948,18117
15948,15981
15948,19289
15948,2375
15948,5991
15948,16969
15948,13151
15948,20491
15948,13311
15948,19895
15948,568
15948,18489
15948,15597
15948,404
15948,14924
15948,12181
15948,7349
15948,4496
15948,18741
15948,7721
15948,1273
15948,16369
