id1,id2,weight
351,10150,1
352,18656,1
355,15635,1
357,6120,1
359,10675,1
361,2588,1
362,5879,1
362,4289,1
363,11607,1
367,1021,1
372,17965,1
373,15635,1
374,2678,1
376,3370,1
377,11047,1
381,14049,1
382,18106,1
382,6845,1
385,11735,1
386,1167,1
389,1800,1
389,3370,1
389,3013,1
389,14249,1
389,11607,1
389,18037,1
389,10170,1
389,17660,1
389,19563,1
389,6077,1
389,11735,1
389,3591,1
389,10159,1
390,15981,1
392,19402,1
394,18261,1
395,8689,1
396,8017,1
400,17149,1
400,6863,1
401,11221,1
401,7512,1
401,14653,1
401,11047,1
402,11607,1
404,2382,1
404,14219,1
404,16954,1
404,12840,1
404,7732,1
404,12701,1
404,7967,1
404,19669,1
404,18749,1
404,11147,1
404,4151,1
404,2969,1
404,4310,1
404,18750,1
404,7020,1
404,3954,1
404,11523,1
404,1167,1
404,13061,1
404,12941,1
404,18117,1
404,15981,1
404,19289,1
404,14517,1
404,19014,1
404,18489,1
404,19122,1
404,12181,1
404,6646,1
404,2678,1
404,17512,1
404,6492,1
404,10173,1
404,2622,1
404,1273,1
404,6339,1
404,17220,1
404,14018,1
404,3860,1
404,11762,1
404,12690,1
404,7256,1
404,1789,1
404,15582,1
404,6895,1
404,2967,1
404,7633,1
404,6256,1
404,16276,1
404,9346,1
404,14053,1
404,7921,1
404,11286,1
404,17858,1
404,6750,1
404,17400,1
404,6139,1
404,11391,1
404,1427,1
404,4507,1
404,1343,1
404,17289,1
404,2397,1
404,18175,1
404,5817,1
404,3432,1
404,12459,1
404,17869,1
404,5736,1
404,700,1
404,595,1
404,7276,1
404,7745,1
404,16842,1
404,15680,1
404,1033,1
404,17037,1
404,6283,1
404,2312,1
404,15732,1
404,2516,1
404,2387,1
404,3384,1
404,6888,1
404,3115,1
404,12661,1
404,18371,1
404,3195,1
404,3778,1
404,1556,1
404,12412,1
404,12426,1
404,3015,1
404,5141,1
404,16488,1
404,17763,1
404,18998,1
404,16029,1
404,15442,1
404,7932,1
404,10159,1
405,19132,1
406,18585,1
407,10376,1
410,10376,1
410,8017,1
412,5991,1
413,18489,1
414,12240,1
415,13113,1
416,18106,1
418,9079,1
419,12187,1
423,18159,1
424,7770,1
424,1107,1
425,1968,1
426,1800,1
426,3370,1
426,18479,1
426,11607,1
426,11735,1
426,14545,1
426,10159,1
427,9404,1
428,7512,1
428,11070,1
430,17660,1
431,2326,1
433,14433,1
434,9404,1
